MONTH,a1,ax,r,a1.pvalue,ax.pvalue,r.pvalue,
1,-4.08E-05,4.46E-03,1.47093,3.31E-02,3.33E-02,0.00E+00,
2,8.35E-03,1.01E+00,1.253452,3.30E-02,2.15E-09,2.68E-90,
3,7.59E-04,9.94E-02,1.296303,7.84E-01,3.52E-01,2.76E-129,
4,-3.79E+00,1.01E+00,-0.457579,7.24E-14,3.01E-16,4.43E-04,
5,-1.72E-01,-8.11E+00,3.687535,1.57E-33,0.00E+00,2.13E-165,
6,-8.25E-01,-2.75E+01,5.855905,7.54E-151,0.00E+00,7.15E-180,
7,-8.73E-01,-3.17E+01,6.155766,5.18E-188,0.00E+00,1.06E-218,
8,-7.11E-01,-3.11E+01,5.739692,1.06E-239,0.00E+00,6.78E-271,
9,-8.03E-01,-2.51E+01,4.880482,2.36E-201,0.00E+00,4.04E-297,
10,-5.00E-01,-7.92E+00,3.146178,1.27E-25,0.00E+00,2.04E-132,
11,-1.64E-02,-1.99E+00,2.119615,1.50E-07,6.00E-25,0.00E+00,
12,-2.96E-05,6.28E-04,1.647433,9.09E-01,9.09E-01,0.00E+00,
